Nombre,school_id,Latitud,Longitud,Direccion,modality_labels,modality_ids,program_ids,program_labels,department,municipality,dep_id,mun_id
CENTRO ESCOLAR LUIS ALFONSO SOTELO HERNADEZ (EL JABILLO),4410,12.61374000,-85.32164000,COMUNIDAD EL JABILLO.,"PREESCOLAR COMUNITARIO,PRIMARIA MULTIGRADO","1,14",2,PRIMARIA,Boaco,Boaco,11,100
CENTRO ESCOLAR CORAZON DE MARIA.,4411,12.61516000,-85.56202000,COMARCA EL PUEBLITO DEL PORTON 4 KMS AL NOROESTE.,"PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO","10,14",2,PRIMARIA,Boaco,Boaco,11,100
CENTRO ESCOLAR JOSEFA DOLORES CAMPOS.,4412,12.49293000,-85.55917000,ENTRADA HACENDO ENRIQUE 5 KM. AL SUR.,"PREESCOLAR COMUNITARIO MULTINIVEL,EBA,PRIMARIA MULTIGRADO","10,102,14",2,PRIMARIA,Boaco,Boaco,11,100
MIGUEL OBANDO BRAVO,4413,12.60132800,-85.62422000,CARRETERA A SAN BUENAVENTURA KM 21.,"PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO","10,14",2,PRIMARIA,Boaco,Boaco,11,100
CENTRO ESCOLAR SANTA RITA (LOS PLANES),4414,12.56736600,-85.36113500,CASERIOS LOS PLANES.,"PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO","10,14",2,PRIMARIA,Boaco,Boaco,11,100
CENTRO ESCOLAR CRISTO REY (BARRIO NUEVO),4415,12.66259000,-85.42822000,CARRETERA A LA VEGA DESVIO A Bº NUEVO DE BOACO 45 KMS.,"PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO","10,14",2,PRIMARIA,Boaco,Boaco,11,100
CENTRO ESCOLAR MATÍAS ORDEÑANA,4416,12.67605000,-85.47873000,COMARCA TABACAL SUBSÉCTOR SUR.,PRIMARIA MULTIGRADO,14,2,PRIMARIA,Boaco,Boaco,11,100
CENTRO ESCOLAR NIÑO JESÚS DE PRAGA,4417,12.69219000,-85.42735000,TABACAL CENTRAL.,"PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO MULTINIVEL,ALFABETIZACION","14,10,63","2,7","PRIMARIA,ALFABETIZACION",Boaco,Boaco,11,100
LA ESPERANZA,4418,12.65536000,-85.62159000,COMARCA EL CAPITAN SECTOR CERRO GRANDE.,"PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO","14,1",2,PRIMARIA,Boaco,Boaco,11,100
SAN FELIPE (FILAS DE BAGUAS),4419,12.61244000,-85.46172000,FILAS DE BAGUAS.,"PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO MULTINIVEL","14,10",2,PRIMARIA,Boaco,Boaco,11,100
SAN PABLO,4420,12.64306000,-85.29412000,CARRETERA A LA VEGA ENTRADA AL ARENAL.,"PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO MULTINIVEL","14,10",2,PRIMARIA,Boaco,Boaco,11,100
VIRGEN DE GUADALUPE,4421,12.52908100,-85.64302800,CERRO GRANDE.,"PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO MULTINIVEL","14,10",2,PRIMARIA,Boaco,Boaco,11,100
NUESTRA SEÑORA DEL CARMEN,4422,12.53429300,-85.49525000,COMARCA SAN ISIDRO #2.,"PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO MULTINIVEL","14,10",2,PRIMARIA,Boaco,Boaco,11,100
SAN MARCOS,4423,12.60778000,-85.35115000,CARRETERA A LA VEGA DE BOACO A 62 KM.,"PREESCOLAR COMUNITARIO,PRIMARIA MULTIGRADO","1,14",2,PRIMARIA,Boaco,Boaco,11,100
